weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.001,500,10,0.1,64,random,0,2,False,32,True,0.3,sum,False,4,False,sum,0.69,True
0.001,0.001,500,10,0.1,64,random,0,1,False,32,True,0.3,sum,False,4,False,sum,0.425,True
0.001,0.001,500,10,0.1,64,random,2,1,False,32,True,0.3,sum,False,4,False,sum,0.426,True
0.001,0.001,500,10,0.1,64,random,2,1,False,32,True,0.3,mean,False,4,False,sum,0.644,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,32,True,0.3,mean,False,4,False,sum,0.844,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,32,False,0.3,mean,False,4,False,sum,0.446,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,32,False,0.3,sum,False,4,False,sum,0.545,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,32,False,0.5,sum,False,4,False,sum,0.502,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,32,False,0.0,sum,False,4,False,sum,0.472,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,16,False,0.0,sum,False,4,False,sum,0.496,True
0.001,0.001,500,10,0.1,64,random,2,1,False,16,False,0.0,sum,False,4,False,sum,0.532,True
0.001,0.001,400,10,0.1,64,random,2,1,False,16,False,0.0,sum,False,4,False,sum,0.501,True
0.001,0.001,400,10,0.1,64,random,2,2,False,16,False,0.0,sum,False,4,False,sum,0.4,True
0.001,0.001,400,10,0.1,64,random,2,2,False,16,True,0.0,sum,False,4,False,sum,0.698,True
0.001,0.001,400,10,0.1,64,random,2,2,False,16,True,0.3,sum,False,4,False,sum,0.858,True
0.001,0.001,400,10,0.1,64,random,2,2,False,16,True,0.3,mean,False,4,False,sum,0.716,False
0.001,0.001,400,10,0.1,64,random,2,2,sum,16,True,0.3,sum,False,4,False,sum,0.723,True
0.001,0.001,400,10,0.1,64,random,2,2,sum,16,True,0.3,sum,False,4,True,sum,0.817,True
0.001,0.001,400,10,0.1,128,random,2,2,sum,16,True,0.3,sum,False,4,True,sum,0.631,True
0.001,0.001,400,10,0.1,16,random,2,2,sum,16,True,0.3,sum,False,4,True,sum,0.507,True
0.001,0.001,400,10,0.1,16,random,2,2,sum,16,True,0.3,sum,False,4,False,sum,0.684,True
0.001,0.001,400,10,0.1,16,random,2,2,sum,16,True,0.5,sum,False,4,False,sum,0.844,True
0.001,0.001,400,10,0.1,16,random,1,2,sum,16,True,0.5,sum,False,4,False,sum,0.839,True
0.001,0.001,400,10,0.1,16,random,1,2,sum,16,True,0.3,sum,False,4,False,sum,0.739,True
0.001,0.001,400,10,0.1,16,random,1,2,sum,16,True,0.0,sum,False,4,False,sum,0.336,True
0.001,0.001,400,10,0.1,16,random,1,2,sum,16,True,0.0,sum,False,4,True,sum,0.765,True
0.001,0.001,400,10,0.1,16,random,1,2,sum,16,True,0.0,sum,False,3,True,sum,0.429,True
0.001,0.001,400,10,0.1,16,random,1,2,sum,16,True,0.0,sum,False,3,False,sum,0.473,True
0.001,0.001,400,10,0.1,32,random,1,2,sum,16,True,0.0,sum,False,3,False,sum,0.691,True
0.001,0.001,400,10,0.1,32,random,1,2,sum,16,True,0.0,sum,False,3,True,sum,0.596,True
0.001,0.001,400,10,0.1,32,random,1,2,False,16,True,0.0,sum,False,3,True,sum,0.468,False
0.001,0.001,400,10,0.1,32,go2vec,1,2,sum,16,True,0.0,sum,False,3,True,sum,0.86,True
0.001,0.001,400,10,0.1,32,go2vec,1,2,sum,16,True,0.0,sum,False,3,False,sum,0.57,True
0.001,0.001,400,10,0.1,32,go2vec,1,2,sum,16,True,0.0,sum,True,3,False,sum,0.655,True
0.001,0.001,300,10,0.1,32,go2vec,1,2,sum,16,True,0.0,sum,True,3,False,sum,0.654,True
0.001,0.001,300,10,0.1,32,go2vec,1,2,sum,16,True,0.0,sum,True,4,False,sum,0.541,True
0.001,0.001,300,10,0.1,32,go2vec,1,2,sum,16,True,0.0,sum,False,4,False,sum,0.47,True
0.001,0.001,500,10,0.1,32,go2vec,1,2,sum,16,True,0.0,sum,False,4,False,sum,0.801,True
0.001,0.001,500,10,0.1,32,go2vec,2,2,sum,16,True,0.0,sum,False,4,False,sum,0.438,True
0.001,0.001,500,10,0.1,16,go2vec,2,2,sum,16,True,0.0,sum,False,4,False,sum,0.383,True
0.001,0.001,500,10,0.1,16,go2vec,2,2,sum,16,False,0.0,sum,False,4,False,sum,0.525,True
0.001,0.001,500,10,0.1,128,go2vec,2,2,sum,16,False,0.0,sum,False,4,False,sum,0.466,True
0.001,0.001,500,10,0.1,64,go2vec,2,2,sum,16,False,0.0,sum,False,4,False,sum,0.469,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,sum,16,False,0.0,sum,False,4,False,sum,0.447,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,sum,128,False,0.0,sum,False,4,False,sum,0.486,True
0.001,0.001,500,10,0.1,32,go2vec,2,1,sum,128,False,0.0,sum,False,4,False,sum,0.5,True
0.001,0.001,500,10,0.1,32,go2vec,2,0,sum,128,False,0.0,sum,False,4,False,sum,0.484,True
0.001,0.001,500,10,0.1,32,go2vec,2,0,sum,64,False,0.0,sum,False,4,False,sum,0.486,True
0.001,0.001,500,10,0.1,32,go2vec,2,0,sum,64,False,0.0,sum,True,4,False,sum,0.921,True
0.001,0.001,500,10,0.1,32,go2vec,2,0,sum,64,False,0.0,sum,True,4,True,sum,0.913,True
0.001,0.0001,500,10,0.1,32,go2vec,2,0,sum,64,False,0.0,sum,True,4,True,sum,0.91,True
0.001,0.0001,500,10,0.1,64,go2vec,2,0,sum,64,False,0.0,sum,True,4,True,sum,0.911,True
0.001,0.0001,500,10,0.1,64,random,2,0,sum,64,False,0.0,sum,True,4,True,sum,0.905,True
0.001,0.0001,500,10,0.1,128,random,2,0,sum,64,False,0.0,sum,True,4,True,sum,0.906,True
0.001,0.0001,500,10,0.1,128,random,2,0,sum,64,False,0.0,sum,True,4,False,sum,0.906,True
0.001,0.0001,500,10,0.1,128,random,2,0,sum,64,False,0.0,sum,True,3,False,sum,0.901,True
0.001,0.0001,500,10,0.1,128,random,2,0,sum,64,True,0.0,sum,True,3,False,sum,0.762,False
0.001,0.0001,500,10,0.1,128,random,2,0,sum,64,False,0.0,sum,True,3,True,sum,0.901,True
0.001,0.0001,400,10,0.1,128,random,2,0,sum,64,False,0.0,sum,True,3,True,sum,0.899,True
0.001,0.0001,400,10,0.1,128,go2vec,2,0,sum,64,False,0.0,sum,True,3,True,sum,0.905,True
0.001,0.0001,400,10,0.1,64,go2vec,2,0,sum,64,False,0.0,sum,True,3,True,sum,0.908,True
