weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,heads,add_self_loops,concat,val_auc,accepted
0.001,0.001,500,10,0.1,128,go2vec,1,2,False,128,True,0.3,sum,False,4,False,1,False,True,0.849,True
0.001,0.001,500,10,0.1,128,go2vec,1,2,False,128,True,0.3,sum,False,1,False,1,False,True,0.578,True
0.001,0.001,500,10,0.1,128,random,1,2,False,128,True,0.3,sum,False,1,False,1,False,True,0.577,True
0.001,0.001,400,10,0.1,128,random,1,2,False,128,True,0.3,sum,False,1,False,1,False,True,0.587,True
0.001,0.001,400,10,0.1,128,random,1,2,False,128,True,0.5,sum,False,1,False,1,False,True,0.534,True
0.001,0.0001,400,10,0.1,128,random,1,2,False,128,True,0.5,sum,False,1,False,1,False,True,0.64,True
0.001,0.01,400,10,0.1,128,random,1,2,False,128,True,0.5,sum,False,1,False,1,False,True,0.649,True
0.001,0.01,400,10,0.1,128,random,1,2,False,128,True,0.0,sum,False,1,False,1,False,True,0.566,True
0.001,0.01,400,10,0.1,128,random,1,2,sum,128,True,0.0,sum,False,1,False,1,False,True,0.496,True
0.001,0.01,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,sum,False,1,False,1,False,True,0.61,True
0.001,0.0001,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,sum,False,1,False,1,False,True,0.781,True
0.001,0.0001,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,sum,True,1,False,1,False,True,0.782,True
0.001,0.0001,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,mean,True,1,False,1,False,True,0.782,True
0.001,0.0001,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,mean,True,1,False,1,False,False,0.72,True
0.001,0.0001,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,mean,True,2,False,1,False,False,0.836,True
0.001,0.0001,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,mean,True,2,False,2,False,False,0.873,True
0.001,0.0001,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,mean,True,2,False,2,False,True,0.861,True
0.001,0.01,400,10,0.1,128,go2vec,1,2,sum,128,True,0.0,mean,True,2,False,2,False,True,0.693,True
0.001,0.01,400,10,0.1,128,go2vec,1,2,sum,64,True,0.0,mean,True,2,False,2,False,True,0.86,True
0.001,0.01,400,10,0.1,128,go2vec,1,2,sum,64,False,0.0,mean,True,2,False,2,False,True,0.873,True
0.001,0.01,300,10,0.1,128,go2vec,1,2,sum,64,False,0.0,mean,True,2,False,2,False,True,0.864,True
0.001,0.01,300,10,0.1,64,go2vec,1,2,sum,64,False,0.0,mean,True,2,False,2,False,True,0.89,True
0.001,0.01,300,10,0.1,64,go2vec,1,2,sum,64,False,0.0,mean,True,2,False,3,False,True,0.893,True
0.001,0.01,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,True,2,False,3,False,True,0.704,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,True,2,False,3,False,True,0.889,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,True,0.0,mean,True,2,False,3,False,True,0.867,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,True,0.3,mean,True,2,False,3,False,True,0.907,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.3,mean,True,2,False,3,False,True,0.885,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.3,mean,True,3,False,3,False,True,0.892,True
