,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,heads,add_self_loops,concat,val_auc,accepted,val_auc_random_features
705,0.001,0.001,400,10,0.1,64,go2vec,2,0,cat,64,False,0.5,sum,True,4,False,2,False,True,0.9,True,0.758
813,0.001,0.01,500,10,0.1,16,go2vec,0,2,cat,128,False,0.0,mean,False,4,True,3,False,True,0.9,True,0.754
831,0.001,0.01,300,10,0.1,128,go2vec,1,2,cat,16,False,0.3,mean,False,4,False,3,False,False,0.9,True,0.5
669,0.001,0.001,400,10,0.1,64,go2vec,1,0,cat,64,False,0.0,sum,True,2,False,3,False,False,0.9,True,0.66
454,0.001,0.001,500,10,0.1,16,go2vec,0,2,cat,16,False,0.0,sum,False,3,True,3,False,False,0.9,True,0.769
152,0.001,0.0001,300,10,0.1,128,go2vec,1,2,False,128,False,0.0,mean,True,3,True,2,False,True,0.899,True,0.857
400,0.001,0.001,500,10,0.1,32,go2vec,0,0,sum,32,False,0.5,mean,False,3,True,2,False,True,0.899,True,0.725
626,0.001,0.001,300,10,0.1,32,go2vec,2,1,sum,32,False,0.3,mean,True,4,False,3,False,True,0.899,True,0.767
185,0.001,0.001,500,10,0.1,128,go2vec,2,2,False,128,True,0.3,mean,False,4,False,2,False,True,0.899,True,0.705
649,0.001,0.001,300,10,0.1,64,go2vec,1,0,sum,64,False,0.5,sum,False,2,True,3,False,True,0.899,True,0.726
360,0.001,0.001,400,10,0.1,32,go2vec,1,0,cat,32,False,0.5,mean,False,4,True,3,False,False,0.898,True,0.769
630,0.001,0.01,300,10,0.1,32,go2vec,2,1,sum,64,False,0.3,mean,True,4,False,3,False,False,0.898,True,0.818
335,0.001,0.01,400,10,0.1,16,go2vec,2,0,sum,32,False,0.3,sum,True,3,True,3,False,False,0.898,True,0.695
809,0.001,0.0001,500,10,0.1,16,go2vec,0,2,cat,16,True,0.0,mean,False,4,True,2,False,True,0.898,True,0.772
678,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,mean,True,2,True,2,False,True,0.898,True,0.64
53,0.001,0.001,400,10,0.1,128,go2vec,1,0,False,16,False,0.5,sum,True,4,False,2,False,True,0.898,True,0.721
26,0.001,0.001,400,10,0.1,16,go2vec,1,1,sum,128,False,0.3,mean,True,2,True,2,False,True,0.898,True,0.705
674,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,False,2,True,3,False,False,0.897,True,0.521
111,0.001,0.001,400,10,0.1,16,go2vec,1,0,sum,128,True,0.5,sum,False,3,True,1,False,True,0.897,True,0.555
414,0.001,0.01,400,10,0.1,16,go2vec,0,0,sum,128,False,0.0,mean,False,4,True,3,False,True,0.897,True,0.822
684,0.001,0.01,500,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,False,3,True,2,False,True,0.897,True,0.826
944,0.001,0.01,300,10,0.1,128,go2vec,0,0,sum,64,False,0.3,mean,True,3,True,2,False,False,0.897,True,0.521
158,0.001,0.001,300,10,0.1,128,go2vec,2,0,cat,128,False,0.0,mean,True,2,True,2,False,False,0.897,True,0.707
265,0.001,0.001,300,10,0.1,64,go2vec,0,1,cat,64,True,0.5,sum,False,2,True,1,False,False,0.897,True,0.655
68,0.001,0.001,500,10,0.1,16,go2vec,2,0,cat,16,False,0.0,sum,True,3,True,3,False,False,0.897,True,0.796
706,0.001,0.001,400,10,0.1,64,go2vec,2,0,cat,32,False,0.5,sum,True,4,False,2,False,True,0.897,True,0.714
222,0.001,0.001,500,10,0.1,32,go2vec,1,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.897,True,0.833
267,0.001,0.001,300,10,0.1,64,go2vec,0,1,cat,64,False,0.5,sum,False,2,True,3,False,False,0.897,True,0.65
227,0.001,0.01,500,10,0.1,32,go2vec,2,2,sum,32,False,0.0,mean,True,4,True,3,False,True,0.897,True,0.816
723,0.001,0.0001,400,10,0.1,16,go2vec,0,0,cat,16,True,0.0,sum,True,4,True,3,False,True,0.896,True,0.785
